,City,Cost of Living Score,Safety Score,teleport_city_score
0,Aarhus,4.015000000000001,9.616500000000002,65.08999999999999
1,Adelaide,4.692,7.926000000000001,61.19986486486487
2,Albuquerque,6.059,1.3435,51.512162162162156
3,Almaty,9.333,7.309,52.75824324324324
4,Amsterdam,3.8240000000000007,8.503500000000003,69.59878378378377
5,Anchorage,3.141,3.4704999999999995,52.02472972972975
6,Andorra,0.0,9.5535,29.364324324324322
7,Ankara,9.125,7.425000000000002,52.01594594594593
8,Asheville,5.311,5.852500000000001,50.92864864864867
9,Asuncion,9.295000000000002,6.9345,47.11594594594596
10,Athens,6.5,6.7585,55.062567567567555
11,Atlanta,5.241,2.6725,58.03756756756757
12,Auckland,4.470000000000001,7.0215,60.44162162162162
13,Austin,5.3549999999999995,5.069,60.5177027027027
14,Baku,9.806000000000001,8.772,49.984459459459465
15,Bali,0.0,8.7475,44.287837837837834
16,Baltimore,4.982,2.373,45.36324324324325
17,Bangkok,7.222,7.0365,54.17243243243245
18,Barcelona,6.074000000000001,7.407499999999999,63.35378378378377
19,Beijing,8.101,7.066,53.410270270270274
20,Beirut,6.3,6.833,42.95716216216216
21,Belfast,6.014000000000001,7.678999999999999,59.546081081081105
22,Belgrade,8.546000000000001,6.6995000000000005,50.90851351351351
23,Belize City,0.0,6.052,28.685000000000006
24,Bengaluru,10.0,7.2940000000000005,47.55689189189189
25,Bergen,1.8050000000000002,7.7075,60.09445945945945
26,Berlin,5.524,7.251500000000001,69.96513513513514
27,Bern,1.0,9.266,62.41121621621622
28,Bilbao,5.638,8.7805,59.019459459459455
29,Birmingham,5.814,6.946500000000001,58.58513513513513
30,"Birmingham, AL",5.133,1.776,45.74148648648649
31,Bogota,9.079999999999998,6.222000000000001,52.68162162162161
32,Boise,6.578,4.3605,55.63108108108109
33,Bologna,5.189,7.337,53.89972972972973
34,Bordeaux,4.583,7.466,57.256486486486494
35,Boston,4.259,7.742000000000001,67.32635135135136
36,Boulder,4.531,7.0735,64.25229729729732
37,Bozeman,0.0,6.9145,48.48432432432433
38,Bratislava,7.618,8.618,57.406891891891895
39,Brighton,5.324,8.4715,62.39027027027026
40,Brisbane,5.1770000000000005,7.903500000000001,63.16783783783782
41,Bristol,5.242,7.9399999999999995,61.426351351351336
42,Brno,7.925999999999998,8.5655,58.28702702702703
43,Brussels,4.477,6.703,61.962837837837846
44,Bucharest,8.516,8.985999999999999,57.41067567567566
45,Budapest,7.9479999999999995,8.218499999999999,61.15459459459461
46,Buenos Aires,7.763999999999999,6.0395,49.59229729729729
47,Buffalo,5.228000000000001,7.1884999999999994,56.03797297297297
48,Cairo,10.0,6.791,43.35243243243242
49,Calgary,5.417999999999999,7.923,65.5031081081081
50,Cambridge,4.851,9.504499999999998,63.056891891891894
51,Cape Town,7.955,5.327999999999999,45.93310810810814
52,Caracas,9.82,5.221,34.52013513513513
53,Cardiff,6.082,8.21,62.817162162162155
54,Casablanca,9.088000000000001,6.775500000000001,40.35081081081081
55,Charleston,3.567,5.0555,54.797027027027035
56,Charlotte,4.987,5.347499999999999,56.057162162162165
57,Chattanooga,6.121,4.468,49.4091891891892
58,Chennai,10.0,7.837000000000001,48.08283783783783
59,Chiang Mai,8.495000000000001,8.452500000000002,51.011216216216205
60,Chicago,4.766000000000001,3.8320000000000003,62.90500000000001
61,Chisinau,9.343,7.627999999999999,48.66702702702702
